Pathology,Strategy,Winner_Model,Threshold_Calib,Youden_J_Calib,ROC_AUC_Calib
Atelectasis,Expert Router (T3),T3,0.2072,0.4426,0.7297
Cardiomegaly,Expert Router (T1),T1,0.2674,0.8214,0.8571
Effusion,Expert Router (T3),T3,0.413,0.6171,0.8086
Infiltration,Expert Router (20260423),20260423,0.3643,0.55,0.7817
Mass,Expert Router (T3),T3,0.275,0.6763,0.8581
Nodule,Expert Router (T1),T1,0.2081,0.4487,0.6549
Pneumonia,Expert Router (20260423),20260423,0.2705,0.8023,0.8488
Pneumothorax,Expert Router (V1_3),V1_3,0.4136,0.8519,0.9547
Consolidation,Expert Router (V1),V1,0.1964,0.6076,0.8205
Edema,Expert Router (Base),Base,0.7627,0.8846,0.937
Emphysema,Expert Router (V1),V1,0.1597,0.8837,0.9651
Fibrosis,Expert Router (Base),Base,0.05,0.7051,0.875
Pleural_Thickening,Expert Router (V1_3),V1_3,0.3811,0.7381,0.8571
Hernia,Expert Router (Base),Base,0.2767,1.0,1.0
